,longitude,latitude,p_nom,population_density,co2l
AT1 0,13.8,48.1,381.9,0.5,0.6
AT1 1,16.3,48.2,490.6,6.2,0.6
AT1 10,16.0,47.7,32.2,0.1,0.6
AT1 11,16.8,48.0,30.1,0.7,0.6
AT1 12,14.6,46.5,30.1,0.2,0.6
AT1 2,10.8,47.2,159.5,0.5,0.6
AT1 3,9.7,47.3,71.9,0.1,0.6
AT1 4,12.5,47.2,4128.2,0.0,0.6
AT1 5,14.2,47.7,55.7,0.3,0.6
AT1 6,15.4,46.9,248.1,0.2,0.6
AT1 8,14.9,48.1,56.3,5.0,0.6
AT1 9,14.8,47.3,64.2,0.0,0.6
BE1 0,4.9,50.4,1238.6,3.1,0.6
BE1 1,4.3,51.0,1000.3,6.2,0.6
BE1 10,5.8,50.7,99.5,0.7,0.6
BE1 11,5.7,50.6,31.2,0.8,0.6
BE1 12,5.8,50.5,28.5,0.2,0.6
BE1 13,5.7,49.8,39.5,0.1,0.6
BE1 14,5.7,49.6,1841.6,1.6,0.6
BE1 15,5.4,50.6,68.2,1.7,0.6
BE1 2,3.3,51.3,329.1,0.5,0.6
BE1 3,3.6,50.9,1270.8,0.4,0.6
BE1 5,5.6,50.9,335.8,0.6,0.6
BE1 6,5.8,50.2,326.3,0.1,0.6
BE1 8,5.0,51.1,379.4,7.9,0.6
BE1 9,5.5,50.5,70.3,0.4,0.6
BG1 0,26.1,42.6,458.7,0.2,0.6
BG1 1,24.0,42.5,68.8,0.1,0.6
BG1 2,23.2,42.6,18.4,12.7,0.6
BG1 3,24.0,43.5,232.6,0.2,0.6
BG1 4,23.1,42.5,51.3,0.3,0.6
BG1 5,23.8,42.5,45.6,0.1,0.6
BG1 6,27.3,43.3,235.8,0.3,0.6
CH1 0,7.5,46.3,936.5,0.0,0.6
CH1 1,8.9,46.3,2098.5,0.1,0.6
CH1 3,9.4,46.7,501.6,2.1,0.6
CH1 4,7.6,47.2,385.1,0.4,0.6
CH1 5,7.7,47.4,217.7,0.9,0.6
CH1 7,8.3,47.5,161.5,3.0,0.6
CH1 8,9.3,47.4,158.3,0.6,0.6
CZ1 0,17.1,49.3,492.5,0.3,0.6
CZ1 1,13.4,50.1,126.7,0.1,0.6
CZ1 10,14.4,49.5,131.5,0.1,0.6
CZ1 11,15.7,50.1,56.2,3.0,0.6
CZ1 2,14.3,50.3,358.2,0.2,0.6
